GTD ID,DATE,COUNTRY,CITY,STATE,PERPETRATOR GROUP,FATALITIES,INJURED,TARGET TYPE,,ATTACK TYPE,WEAPON TYPE
202012280022,2020-12-28,United States,Springfield,Illinois,White supremacists/nationalists,0,0,Religious Figures/Institutions,,Facility/Infrastructure Attack,Incendiary
202012250003,2020-12-25,United States,Nashville,Tennessee,Conspiracy theory extremists,1,3,"Business,Private Citizens & Property",,Bombing/Explosion,Explosives
202012150028,2020-12-15,United States,Springfield,Illinois,White supremacists/nationalists,0,0,Religious Figures/Institutions,,Facility/Infrastructure Attack,Incendiary
202012130044,2020-12-13,United States,New York City,New York,Anti-globalization extremists,1,0,Religious Figures/Institutions,,"Hostage Taking (Kidnapping),Armed Assault","Firearms,Incendiary,Melee"
202012130030,2020-12-13,United States,Springfield,Illinois,White supremacists/nationalists,0,0,Religious Figures/Institutions,,Facility/Infrastructure Attack,Incendiary
202011150020,2020-11-15,United States,Brewster,New York,Unknown,0,0,Religious Figures/Institutions,,Facility/Infrastructure Attack,Incendiary
202011150019,2020-11-15,United States,Brewster,New York,Unknown,0,0,Religious Figures/Institutions,,Facility/Infrastructure Attack,Incendiary
202011110022,2020-11-11,United States,Washington county,Minnesota,Unknown,0,0,Police,,Facility/Infrastructure Attack,Incendiary
202011080029,2020-11-08,United States,Seattle,Washington,Left-wing extremists (suspected),0,1,Private Citizens & Property,,Facility/Infrastructure Attack,"Incendiary,Sabotage Equipment"
202011080028,2020-11-08,United States,Seattle,Washington,Left-wing extremists (suspected),0,0,Private Citizens & Property,,Facility/Infrastructure Attack,"Incendiary,Sabotage Equipment"
202011050035,2020-11-05,United States,Philadelphia,Pennsylvania,Conspiracy theory extremists,0,0,Government (General),,Facility/Infrastructure Attack,"Firearms,Firearms"
202011030017,2020-11-03,United States,Willow Street,Pennsylvania,Unknown,0,0,Government (General),,Facility/Infrastructure Attack,Incendiary
202010300025,2020-10-30,United States,Wilmington,North Carolina,Unknown,0,0,Religious Figures/Institutions,,Facility/Infrastructure Attack,Incendiary
202010250023,2020-10-25,United States,Boston,Massachusetts,Unknown,0,0,Government (General),,Facility/Infrastructure Attack,Incendiary
202010190027,2020-10-19,United States,Houston,Texas,Conspiracy theory extremists,0,0,Private Citizens & Property,,"Hostage Taking (Kidnapping),Facility/Infrastructure Attack","Firearms,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)"
202010180032,2020-10-18,United States,Baldwin Park,California,Unknown,0,0,Government (General),,Facility/Infrastructure Attack,Incendiary
202010100025,2020-10-10,United States,Fort Myers,Florida,Anti-Abortion extremists,0,0,Abortion Related,,Facility/Infrastructure Attack,Incendiary
