Order,state,incidents,code,latitude,longitude,,,,,,,,
1,Alabama,21,AL,32.318231,-86.902298,,,,,,,,
2,Alaska,3,AK,63.588753,-154.493062,,,,,,,,
3,Arizona,45,AZ,34.048928,-111.093731,,,,,,,,
4,Arkansas,16,AR,35.20105,-91.831833,,,,,,,,
6,California,601,CA,36.778261,-119.417932,,,,,,,,
7,Colorado,48,CO,39.550051,-105.782067,,,,,,,,
8,Connecticut,14,CT,41.603221,-73.087749,,,,,,,,
9,Delaware,3,DE,38.910832,-75.52767,,,,,,,,
10,District of Columbia,83,DC,38.905985,-77.033418,,,,,,,,
11,Florida,176,FL,27.664827,-81.515754,,,,,,,,
12,Georgia,50,GA,32.157435,-82.907123,,,,,,,,
13,Hawaii,5,HI,19.898682,-155.665857,,,,,,,,
14,Idaho,9,ID,44.068202,-114.742041,,,,,,,,
15,Illinois,121,IL,40.633125,-89.398528,,,,,,,,
16,Indiana,17,IN,40.551217,-85.602364,,,,,,,,
17,Iowa,26,IA,41.878003,-93.097702,,,,,,,,
18,Kansas,14,KS,39.011902,-98.484246,,,,,,,,
19,Kentucky,10,KY,37.839333,-84.270018,,,,,,,,
20,Louisiana,27,LA,31.244823,-92.145024,,,,,,,,
21,Maine,1,ME,45.253783,-69.445469,,,,,,,,
22,Maryland,35,MD,39.045755,-76.641271,,,,,,,,
23,Massachusetts,65,MA,42.407211,-71.382437,,,,,,,,
24,Michigan,47,MI,44.314844,-85.602364,,,,,,,,
25,Minnesota,33,MN,46.729553,-94.6859,,,,,,,,
26,Mississippi,16,MS,32.354668,-89.398528,,,,,,,,
27,Missouri,44,MO,37.964253,-91.831833,,,,,,,,
28,Montana,7,MT,46.879682,-110.362566,,,,,,,,
29,Nebraska,18,NE,41.492537,-99.901813,,,,,,,,
30,Nevada,22,NV,38.80261,-116.419389,,,,,,,,
31,New Hampshire,6,NH,43.193852,-71.572395,,,,,,,,
32,New Jersey,42,NJ,40.058324,-74.405661,,,,,,,,
33,New Mexico,27,NM,34.97273,-105.032363,,,,,,,,
34,New York,519,NY,43.299428,-74.217933,,,,,,,,
35,North Carolina,26,NC,35.759573,-79.0193,,,,,,,,
36,North Dakota,5,ND,47.551493,-101.002012,,,,,,,,
37,Ohio,68,OH,40.417287,-82.907123,,,,,,,,
38,Oklahoma,15,OK,35.007752,-97.092877,,,,,,,,
39,Oregon,62,OR,43.804133,-120.554201,,,,,,,,
40,Pennsylvania,48,PA,41.203322,-77.194525,,,,,,,,
41,Puerto Rico,186,PR,18.220833,-66.590149,,,,,,,,
42,Rhode Island,3,RI,41.580095,-71.477429,,,,,,,,
43,South Carolina,9,SC,33.836081,-81.163725,,,,,,,,
44,South Dakota,5,SD,43.969515,-99.901813,,,,,,,,
45,Tennessee,30,TN,35.517491,-86.580447,,,,,,,,
46,Texas,117,TX,31.968599,-99.901813,,,,,,,,
48,Utah,19,UT,39.32098,-111.093731,,,,,,,,
49,Vermont,0,VT,44.558803,-72.577841,,,,,,,,
50,Virginia,64,VA,37.431573,-78.656894,,,,,,,,0
51,Washington,126,WA,47.751074,-120.740139,,,,,,,,
52,West Virginia,6,WV,38.597626,-80.454903,,,,,,,,
53,Wisconsin,41,WI,43.78444,-88.787868,,,,,,,,
54,Wyoming,2,WY,43.075968,-107.290284,,,,,,,,
